ChargeType,ChargeLevel,EffectiveDate,InactiveDate,ShortDescription,Statute,LongDescription,ChargeCode
M,B,20220828,99991231,VIOL PERSNL PRIVCY PRTCTN ACT,1051500,KNOWINGLY VIOLATE THE PERSONAL PRIVACY PROTECTION ACT,105.1500-001N202257
F,U,19050512,99991231,FRAUDLNT USE FACS SIGNTRE/SEAL,105276,FRAUDULENT USE OF FACSIMILE SIGNATURE OR SEAL,105.276-001Y195925
F,E,20200828,99991231,COMMIT ACTS PROHIB BY ELECTD/APPOINTD PUBLIC OFFICIAL AND EMPLOYEES - 2ND/SUB,105452,COMMITTED ACTS PROHIBITED BY ELECTED AND APPOINTED PUBLIC OFFICIAL AND EMPLOYEES - 2ND AND SUBSEQUENT OFFENSE,105.452-001Y202073
M,B,20200828,99991231,COM PROH ACT - 1ST OFFENSE,105452,COMMITTED ACTS PROHIBITED BY ELECTED AND APPOINTED PUBLIC OFFICIALS AND EMPLOYEES - 1ST OFFENSE,105.452-002Y202073
F,E,20200828,99991231,ACCEPT/RECEIVE COMPENSATION AS PAID POLITICAL CONSULTANT - 2ND OR SUBS OFF,105453,ACCEPT/RECEIVE COMPENSATION AS PAID POLITICAL CONSULTANT - 2ND OR SUBSEQUENT OFFENSE,105.453-001Y202073
F,E,20200828,99991231,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST - 2ND OFFENSE,105454,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST - 2ND OFFENSE,105.454-001Y202073
M,B,20200828,99991231,ETHICS VIOL-OFFCL/LOBST-1ST OFNS,105454,ETHICS VIOLATION BY ELECTED OFFICIAL OR LOBBYIST- 1ST OFFENSE,105.454-002N202073
F,E,20200828,99991231,ELECT/APPT OFFICIAL VIOLATE REG LIMIT AS LOBBYIST - 2ND OR SUBSEQUENT,105455,ELECTED/APPOINTED OFFICIAL VIOLATE REGISTRATION LIMITATION AS LOBBYIST - 2ND OR SUBSEQUENT,105.455-001Y202073
M,B,20200828,99991231,ELECTED/APPOINTED OFFICIAL VIOLATE REGISTRATION LIMITATION AS LOBBYIST-1ST OFF,105455,ELECTED/APPOINTED OFFICIAL VIOLATE REGISTRATION LIMITATION AS LOBBYIST-1ST OFFENSE,105.455-003Y202073
F,E,20200828,99991231,COMIT PROHIBITD ACT BY MMBR OF GNRL ASSMBLY AND STATE ELECTED OFFICIAL 2ND/SUB,105456,COMMIT PROHIBITED ACTS BY MEMBERS OF GENERAL ASSEMBLY AND STATEWIDE ELECTED OFFICIALS - 2ND OR SUBSEQUENT OFFENSE,105.456-001Y202073
